class,total,train,val,test
Pepper__bell___Bacterial_spot,997,797,99,101
Pepper__bell___healthy,1000,800,100,100
Potato___Early_blight,1000,800,100,100
Potato___healthy,152,121,15,16
Potato___Late_blight,1000,800,100,100
Tomato__Target_Spot,1000,800,100,100
Tomato__Tomato_mosaic_virus,373,298,37,38
Tomato__Tomato_YellowLeaf__Curl_Virus,1000,800,100,100
Tomato_Bacterial_spot,1000,800,100,100
Tomato_Early_blight,1000,800,100,100
Tomato_healthy,1000,800,100,100
Tomato_Late_blight,1000,800,100,100
Tomato_Leaf_Mold,952,761,95,96
Tomato_Septoria_leaf_spot,1000,800,100,100
Tomato_Spider_mites_Two_spotted_spider_mite,1000,800,100,100
